actual,predicted,count
0-5,0-5,3817
0-5,6-10,622
0-5,11-20,2160
0-5,21-50,808
0-5,>50,0
6-10,0-5,4
6-10,6-10,166
6-10,11-20,209
6-10,21-50,30
6-10,>50,0
11-20,0-5,2
11-20,6-10,58
11-20,11-20,2711
11-20,21-50,380
11-20,>50,1
21-50,0-5,0
21-50,6-10,3
21-50,11-20,151
21-50,21-50,243
21-50,>50,3
>50,0-5,0
>50,6-10,0
>50,11-20,0
>50,21-50,10
>50,>50,1
